epoch,train_loss,val_loss,train_mae,val_mae
1,0.37706083059310913,0.2962591052055359,0.42189761996269226,0.35657164454460144
2,0.25888291001319885,0.24620133638381958,0.3469867408275604,0.323398232460022
3,0.2196936458349228,0.277244508266449,0.32225683331489563,0.35639655590057373
4,0.20282332599163055,0.22548776865005493,0.3108716607093811,0.3234775960445404
5,0.1842138171195984,0.18508894741535187,0.29882359504699707,0.2799142301082611
6,0.17469051480293274,0.24516688287258148,0.2911089360713959,0.3374471068382263
7,0.1650111824274063,0.22819046676158905,0.28177714347839355,0.3279910981655121
8,0.16216139495372772,0.22153764963150024,0.28065353631973267,0.3243902027606964
9,0.15036523342132568,0.20501716434955597,0.2711152136325836,0.3081224262714386
10,0.1492222547531128,0.20355625450611115,0.27068278193473816,0.31344789266586304
11,0.14466799795627594,0.18399271368980408,0.2651749551296234,0.2883616089820862
12,0.1461172252893448,0.20269158482551575,0.2664211094379425,0.3073154091835022
13,0.14116308093070984,0.16156882047653198,0.2613454759120941,0.2634352445602417
14,0.1363144814968109,0.17354300618171692,0.2565803527832031,0.2824631929397583
15,0.1372404843568802,0.17479386925697327,0.25810375809669495,0.2895420789718628
16,0.13485535979270935,0.14434471726417542,0.2549739181995392,0.24532392621040344
17,0.1272076666355133,0.16131186485290527,0.24809519946575165,0.26985976099967957
18,0.1357518881559372,0.2372145801782608,0.2567388117313385,0.335953027009964
19,0.13277849555015564,0.16030578315258026,0.2526109218597412,0.2697196900844574
20,0.12662777304649353,0.14001032710075378,0.24619343876838684,0.24325145781040192
21,0.12594160437583923,0.14377857744693756,0.24754346907138824,0.2495957762002945
22,0.12386159598827362,0.14009907841682434,0.24389037489891052,0.24201934039592743
23,0.12414512783288956,0.15572687983512878,0.24497340619564056,0.26300299167633057
24,0.1262260526418686,0.1344958394765854,0.24768657982349396,0.23895084857940674
25,0.11895792186260223,0.1331346333026886,0.23911955952644348,0.23827596008777618
26,0.12570820748806,0.12857557833194733,0.24614231288433075,0.22981372475624084
27,0.1201668456196785,0.1463819146156311,0.24121227860450745,0.2469649761915207
28,0.11918705701828003,0.13350287079811096,0.23912951350212097,0.23618067800998688
29,0.1220407634973526,0.14474837481975555,0.2433192878961563,0.24560797214508057
30,0.123690165579319,0.1393217295408249,0.24384546279907227,0.24632291495800018
31,0.11386171728372574,0.1515447497367859,0.23404183983802795,0.2574991285800934
32,0.1188293993473053,0.13732096552848816,0.23940758407115936,0.23779505491256714
33,0.10202793031930923,0.08665116131305695,0.21901662647724152,0.16801175475120544
34,0.09594893455505371,0.0855281800031662,0.21370252966880798,0.170434832572937
35,0.0960722491145134,0.09371541440486908,0.2140137106180191,0.17704634368419647
36,0.09452913701534271,0.09062810242176056,0.2122201770544052,0.17680394649505615
37,0.09303616732358932,0.07908577471971512,0.2108667641878128,0.15872488915920258
38,0.09302742034196854,0.08338625729084015,0.21099500358104706,0.16767935454845428
39,0.09212934225797653,0.08286989480257034,0.210600808262825,0.1650790423154831
40,0.09143514186143875,0.07710921764373779,0.21000967919826508,0.15565325319766998
41,0.09157907962799072,0.0927504301071167,0.21016435325145721,0.17986461520195007
42,0.09087865799665451,0.07926396280527115,0.20906685292720795,0.1628388911485672
43,0.09151772409677505,0.09871045500040054,0.2105572670698166,0.18916772305965424
44,0.0900113582611084,0.07746757566928864,0.20870350301265717,0.16033677756786346
45,0.08843573927879333,0.08333190530538559,0.20652659237384796,0.1696576029062271
46,0.09023301303386688,0.08173611760139465,0.2091740369796753,0.16788092255592346
47,0.08278367668390274,0.055558525025844574,0.19946907460689545,0.11840462684631348
48,0.07985575497150421,0.055253006517887115,0.19658993184566498,0.118660107254982
49,0.07939375191926956,0.05672679841518402,0.19614730775356293,0.12213654071092606
50,0.07923401892185211,0.056461434811353683,0.19593407213687897,0.1219310313463211
51,0.0785871371626854,0.057195503264665604,0.19531241059303284,0.12352282553911209
52,0.07833299785852432,0.056758712977170944,0.19530221819877625,0.12351872026920319
53,0.07753665000200272,0.05783265084028244,0.19401805102825165,0.12438123673200607
54,0.07761266082525253,0.05640825256705284,0.19439585506916046,0.12162216752767563
55,0.07547318190336227,0.04663211479783058,0.19128456711769104,0.10241704434156418
56,0.07430277019739151,0.04611101374030113,0.19035004079341888,0.10124750435352325
57,0.07357947528362274,0.04570743814110756,0.18918268382549286,0.1003841757774353
58,0.07336831837892532,0.04568769782781601,0.18902301788330078,0.10139180719852448
59,0.07292565703392029,0.04488470032811165,0.1885228157043457,0.09942888468503952
60,0.07293384522199631,0.04487153887748718,0.18862059712409973,0.10019579529762268
61,0.0725618526339531,0.0443873405456543,0.18818621337413788,0.10003417730331421
62,0.07239805161952972,0.044009219855070114,0.18829940259456635,0.09828931838274002
63,0.07210062444210052,0.04382535070180893,0.18776343762874603,0.09830865263938904
64,0.07170625030994415,0.04449757933616638,0.18722552061080933,0.09910214692354202
65,0.071478471159935,0.042875129729509354,0.18689239025115967,0.09684308618307114
66,0.07120082527399063,0.04296097159385681,0.18660114705562592,0.09715783596038818
67,0.07091816514730453,0.04361661523580551,0.18637911975383759,0.09961589425802231
68,0.07093990594148636,0.041974812746047974,0.18654043972492218,0.09541378170251846
69,0.07103033363819122,0.043733369559049606,0.18657070398330688,0.09930617362260818
70,0.07040692120790482,0.04422799497842789,0.18595659732818604,0.09962881356477737
71,0.07020651549100876,0.04232821986079216,0.18542742729187012,0.0982476994395256
72,0.07036826014518738,0.04411914572119713,0.18607988953590393,0.10087356716394424
73,0.0700433999300003,0.041450124233961105,0.1853644698858261,0.09582547843456268
74,0.07012966275215149,0.04191966354846954,0.18556399643421173,0.09748098254203796
75,0.06966280192136765,0.04312373325228691,0.18511559069156647,0.10008327662944794
76,0.06963709741830826,0.04070783406496048,0.1849723607301712,0.09477952122688293
77,0.06931168586015701,0.04132631793618202,0.18453487753868103,0.09756295382976532
78,0.06917355954647064,0.04037163406610489,0.1843297779560089,0.09438567608594894
79,0.06921359896659851,0.0420418418943882,0.18448598682880402,0.09697668254375458
80,0.06901702284812927,0.041644539684057236,0.1842178851366043,0.09961287677288055
81,0.06870335340499878,0.03993561863899231,0.1838959902524948,0.09503059089183807
82,0.06898804754018784,0.045661862939596176,0.184528648853302,0.10505586117506027
83,0.06885814666748047,0.04040418937802315,0.1842285841703415,0.09508690983057022
84,0.06860945373773575,0.04238390550017357,0.1837397813796997,0.09896432608366013
85,0.06812184303998947,0.039578478783369064,0.18340344727039337,0.09575145691633224
86,0.06831303983926773,0.04524730518460274,0.1837509721517563,0.10341515392065048
87,0.0682569220662117,0.03964116424322128,0.18348269164562225,0.09506229311227798
88,0.06813250482082367,0.04035991057753563,0.18354150652885437,0.09878843277692795
89,0.06793148070573807,0.04249604791402817,0.18321754038333893,0.10112135112285614
90,0.06770054250955582,0.041260719299316406,0.18287770450115204,0.09950905293226242
91,0.0677102580666542,0.040597692131996155,0.18297801911830902,0.09723042696714401
92,0.06681981682777405,0.03562460467219353,0.18162371218204498,0.08564784377813339
93,0.0664539709687233,0.03548937663435936,0.1811964362859726,0.08504462987184525
94,0.06624512374401093,0.03503589704632759,0.18094106018543243,0.08337327837944031
95,0.06582378596067429,0.03522393852472305,0.18037919700145721,0.08440829068422318
96,0.06614689528942108,0.035103801637887955,0.18082432448863983,0.08433470875024796
97,0.06603632122278214,0.03482360765337944,0.18073880672454834,0.08390802890062332
98,0.0656464621424675,0.0347747802734375,0.18020591139793396,0.08318276703357697
99,0.06575457006692886,0.03478365018963814,0.1805933564901352,0.08350303024053574
100,0.06544122844934464,0.034514136612415314,0.18001173436641693,0.0835869312286377
101,0.06570099294185638,0.03435231372714043,0.18050168454647064,0.08282420784235
102,0.06546171009540558,0.0344984233379364,0.18007248640060425,0.084040068089962
103,0.06554967910051346,0.03423529490828514,0.1802869737148285,0.08310160785913467
104,0.06535463035106659,0.03409620001912117,0.17987462878227234,0.08300593495368958
105,0.0653388723731041,0.03418859839439392,0.18005692958831787,0.08362496644258499
106,0.06516404449939728,0.03387949615716934,0.1796661615371704,0.08226556330919266
107,0.0652143806219101,0.03411860764026642,0.17974945902824402,0.08253709971904755
108,0.06517163664102554,0.03388682007789612,0.1797817051410675,0.08280454576015472
109,0.06494905054569244,0.03388340771198273,0.17951202392578125,0.08279649913311005
110,0.06492163240909576,0.03395813703536987,0.17952579259872437,0.08374551683664322
111,0.06490413099527359,0.033516544848680496,0.1792449951171875,0.08207722008228302
112,0.06460878252983093,0.03343994542956352,0.17897257208824158,0.08252743631601334
113,0.06476312130689621,0.033943627029657364,0.1791636347770691,0.08270780742168427
114,0.06488877534866333,0.033328842371702194,0.17939689755439758,0.0826457068324089
115,0.06465215235948563,0.03330788388848305,0.17915111780166626,0.08241980522871017
116,0.06458312273025513,0.033148303627967834,0.17931580543518066,0.08234051614999771
117,0.06453169882297516,0.03284689038991928,0.17898419499397278,0.08136682212352753
118,0.06448465585708618,0.03304262459278107,0.1788168102502823,0.08175338059663773
119,0.06464871019124985,0.03302888572216034,0.1793746054172516,0.08251864463090897
