epoch,train_loss,val_loss,train_mae,val_mae
1,0.40234559774398804,0.3331812024116516,0.4402821660041809,0.39695248007774353
2,0.30285078287124634,0.28168973326683044,0.36260324716567993,0.35792234539985657
3,0.2634927034378052,0.23534488677978516,0.32867270708084106,0.31181517243385315
4,0.24631905555725098,0.24008405208587646,0.3104627728462219,0.3081612288951874
5,0.23525738716125488,0.225312277674675,0.302276074886322,0.294960618019104
6,0.2227567434310913,0.20244324207305908,0.2865935266017914,0.2714579701423645
7,0.21142686903476715,0.23290599882602692,0.2753494381904602,0.30690720677375793
8,0.21075746417045593,0.2020699828863144,0.2738332748413086,0.27769196033477783
9,0.19799329340457916,0.19441784918308258,0.2615685760974884,0.25662392377853394
10,0.19545254111289978,0.22627893090248108,0.25930148363113403,0.2867119312286377
11,0.19486679136753082,0.18374624848365784,0.25946569442749023,0.24657975137233734
12,0.18392203748226166,0.1712925285100937,0.24751630425453186,0.23778536915779114
13,0.18350699543952942,0.18296094238758087,0.24570229649543762,0.25519394874572754
14,0.17580142617225647,0.17880205810070038,0.2377140074968338,0.23622825741767883
15,0.17220617830753326,0.17727194726467133,0.23181740939617157,0.2522457242012024
16,0.17138242721557617,0.15984399616718292,0.23465582728385925,0.22946341335773468
17,0.1691393405199051,0.17176012694835663,0.2292160838842392,0.2365449070930481
18,0.16548879444599152,0.14934372901916504,0.22590096294879913,0.21026313304901123
19,0.16469129920005798,0.16195419430732727,0.22533948719501495,0.2249009758234024
20,0.15988390147686005,0.15473154187202454,0.21856939792633057,0.2175624519586563
21,0.16097675263881683,0.14877621829509735,0.2215036153793335,0.21135185658931732
22,0.15965740382671356,0.15431688725948334,0.21795068681240082,0.21800513565540314
23,0.15500740706920624,0.14869342744350433,0.21112160384655,0.20904798805713654
24,0.15636417269706726,0.17661283910274506,0.21443071961402893,0.24226081371307373
25,0.15795621275901794,0.1480138748884201,0.2166685312986374,0.20286694169044495
26,0.15050964057445526,0.13234420120716095,0.20629538595676422,0.1827065348625183
27,0.15190349519252777,0.1506318897008896,0.21020673215389252,0.22272013127803802
28,0.15192770957946777,0.13906235992908478,0.21079622209072113,0.1971115916967392
29,0.1491650938987732,0.13597799837589264,0.20571087300777435,0.1951686441898346
